方向编号,方向,序号,标题,作者,出处,年份,国别,被引,DOI,OpenAlexID
D1,水产养殖智能投喂与摄食行为智能感知,1,Deep learning-based computer vision for fish behavior recognition in intensive aquaculture: A comprehensive review,"Qingxuan He, Huihui Yu, Hanxiang Qin, Yupeng Mei, Ling Xu, Yingqian Chai, Cuili Li, Lihua Song, Daoliang Li, Yingyi Chen",Computer Science Review,2026,国内,5,10.1016/j.cosrev.2026.100896,W7123346463
D1,水产养殖智能投喂与摄食行为智能感知,2,Intelligent Prediction and Continuous Monitoring of Water Quality in Aquaculture: Integration of Machine Learning and Internet of Things for Sustainable Management,"Rubén Baena-Navarro, Yulieth Carriazo-Regino, Francisco Torres-Hoyos, Jhon William Pinedo López",Water,2025,国外,62,10.3390/w17010082,W4405968490
D1,水产养殖智能投喂与摄食行为智能感知,3,Deep Learning for Sustainable Aquaculture: Opportunities and Challenges,"Alex Wu, Ke-Lei Li, Zi-Yu Song, Xiuhua Lou, Pingfan Hu, Weijun Yang, Rui-Feng Wang",Sustainability,2025,国内,57,10.3390/su17115084,W4410956883
D1,水产养殖智能投喂与摄食行为智能感知,4,A deep deterministic policy gradient approach for optimizing feeding rates and water quality management in recirculating aquaculture systems,"Wael M. Elmessery, Said Elshahat Abdallah, Awad Ali Tayoush Oraiath, V. Espinosa, Mohamed Fawzi Abdalshefie Abuhussein, Péter Szűcs, Mohamed Hamdy Eid, Doaa M. El-Shinawy, Huda Aljumayi, Samy F. Mahmoud, Abdallah Elshawadfy Elwakeel",Aquaculture International,2025,国外,27,10.1007/s10499-025-01914-z,W4409078607
D1,水产养殖智能投喂与摄食行为智能感知,5,The Application of Digital Twin Technology in the Development of Intelligent Aquaculture: Status and Opportunities,"Jianlei Chen, Yong Xu, Hao Li, Xinguo Zhao, Su Yang, Chengzhen Qi, Keming Qu, Zhengguo Cui",Fishes,2025,国内,21,10.3390/fishes10080363,W4412711564
D1,水产养殖智能投喂与摄食行为智能感知,6,Feeding behavior quantification and recognition for intelligent fish farming application: A review,"Yuchen Xiao, Liuyi Huang, Shubin Zhang, Chun-Wei Bi, Xinxing You, Shuyue He, Jun Guan",Applied Animal Behaviour Science,2025,国内,15,10.1016/j.applanim.2025.106588,W4408427890
D1,水产养殖智能投喂与摄食行为智能感知,7,Hybrid deep learning framework for real-time DO prediction in aquaculture,"Longqin Xu, Wenjun Liu, Cai Chengqing, Tonglai Liu, Xuekai Gao, Ferdous Sohel, Murtaza Hasan, Mansour Ghorbanpour, Shahbaz Gul Hassan, Shuangyin Liu",Scientific Reports,2025,国内,12,10.1038/s41598-025-10786-5,W4412178277
D1,水产养殖智能投喂与摄食行为智能感知,8,Review on Quantitative Methods of Fish School Behaviors,"Yaoguang Wei, Lin Ji, Dong An",Reviews in Aquaculture,2025,国内,9,10.1111/raq.70023,W4409752803
D1,水产养殖智能投喂与摄食行为智能感知,9,Cross-Modal Complementarity Learning for Fish Feeding Intensity Recognition via Audio–Visual Fusion,"Peijun Li, Yanan Wei, Wenkai Ma, Tan Wang",Animals,2025,国内,5,10.3390/ani15152245,W4412841311
D1,水产养殖智能投喂与摄食行为智能感知,10,A Multimodal Vision-Based Fish Environment and Growth Monitoring in an Aquaculture Cage,"Fengshuang Ma, Xiangyong Liu, Zhiqiang Xu",Journal of Marine Science and Engineering,2025,国内,5,10.3390/jmse13091700,W4413954029
D1,水产养殖智能投喂与摄食行为智能感知,11,Biomass estimation in shrimp aquaculture using multimodal deep learning approaches,"Shaozhong Zhang, Pengfei Shao, Haidong Zhong, Yaohui Wu, Chenjie Du",Ecological Informatics,2025,国内,5,10.1016/j.ecoinf.2025.103531,W4416400111
D1,水产养殖智能投喂与摄食行为智能感知,12,Fish feeding behavior recognition via lightweight two stage network and satiety experiments,"Shilong Zhao, Kewei Cai, Yanbin Dong, Guanbo Feng, Yuqing Wang, Hongshuai Pang, Ying Liu",Scientific Reports,2025,国内,2,10.1038/s41598-025-15241-z,W4413270823
D1,水产养殖智能投喂与摄食行为智能感知,13,Recent Developments in Recirculating Aquaculture Systems: A Review,"Shruti Gupta, Pavlos Makridis, Ingrid A. Henry, Michael Velle-George, Deni Ribičić, Amit Bhatnagar, Kinga Skalska, Ehsan Daneshvar, Elia Ciani, David Persson, Roman Netzer",Aquaculture Research,2024,国外,91,10.1155/are/6096671,W4405372748
D1,水产养殖智能投喂与摄食行为智能感知,14,Exploring opportunities of Artificial Intelligence in aquaculture to meet increasing food demand,"Mohd Ashraf Rather, Ishtiyaq Ahmad, Azra Shah, Younis Ahmad Hajam, Adnan Amin, Saba Khursheed, Irfan Ahmad, Showkat Rasool",Food Chemistry X,2024,国外,90,10.1016/j.fochx.2024.101309,W4392967820
D1,水产养殖智能投喂与摄食行为智能感知,15,A real-time feeding decision method based on density estimation of farmed fish,"Haiyan Zhao, Junfeng Wu, Liang Liu, Boyu Qu, Jianhao Yin, Hong Yu, Zhongai Jiang, Chunyu Zhou",Frontiers in Marine Science,2024,国内,21,10.3389/fmars.2024.1358209,W4394813765
D1,水产养殖智能投喂与摄食行为智能感知,16,Augmenting Aquaculture Efficiency through Involutional Neural Networks and Self-Attention for Oplegnathus Punctatus Feeding Intensity Classification from Log Mel Spectrograms,"Usama Iqbal, Daoliang Li, Zhuangzhuang Du, Muhammad Akhter, Zohaib Mushtaq, Muhammad Farrukh Qureshi, Hafiz Abbad Ur Rehman",Animals,2024,国内(合作),16,10.3390/ani14111690,W4399365488
D1,水产养殖智能投喂与摄食行为智能感知,17,FCFormer: fish density estimation and counting in recirculating aquaculture system,"Kaijie Zhu, Xinting Yang, Caiwei Yang, Tingting Fu, Pingchuan Ma, Weichen Hu",Frontiers in Marine Science,2024,国内,15,10.3389/fmars.2024.1370786,W4393040883
D1,水产养殖智能投喂与摄食行为智能感知,18,An integrated three-stream network model for discriminating fish feeding intensity using multi-feature analysis and deep learning,"Yanbin Dong, Shilong Zhao, Yuqing Wang, Kewei Cai, Hongshuai Pang, Ying Liu",PLoS ONE,2024,国内,14,10.1371/journal.pone.0310356,W4403598461
D1,水产养殖智能投喂与摄食行为智能感知,19,Deep Learning-Based Fish Detection Using Above-Water Infrared Camera for Deep-Sea Aquaculture: A Comparison Study,"Gen Li, Zidan Yao, Yu Hu, Anji Lian, Taiping Yuan, Guoliang Pang, Xiaohua Huang",Sensors,2024,国内,14,10.3390/s24082430,W4394720776
